,year-month,Number_of_Commits
1,2015-08,1
2,2015-09,0
3,2015-10,0
4,2015-11,0
5,2015-12,2
6,2016-01,0
7,2016-02,1
8,2016-03,2
9,2016-04,1
10,2016-05,0
11,2016-06,0
12,2016-07,0
13,2016-08,0
14,2016-09,1
15,2016-10,0
16,2016-11,0
17,2016-12,0
18,2017-01,1
19,2017-02,0
20,2017-03,0
21,2017-04,0
22,2017-05,0
23,2017-06,0
24,2017-07,0
25,2017-08,0
26,2017-09,2
27,2017-10,2
28,2017-11,1
29,2017-12,1
30,2018-01,1
31,2018-02,1
32,2018-03,1
